frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
74|Dec 22, 2019 16:03:49.482663000 GMT|2.479353000|88|6|||||||||3|0.174712000|0.000111000|443|39359|0|32||272|0x00000010|0|1|0|||0.173674000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
76|Dec 22, 2019 16:03:49.485929000 GMT|2.482619000|88|6|||||||||3|0.177978000|0.003266000|443|39359|0|32||272|0x00000010|0|1|0|||0.176390000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
78|Dec 22, 2019 16:03:49.882300000 GMT|2.878990000|88|6|||||||||4|0.000000000|0.000000000|443|39357|0|32||254|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
79|Dec 22, 2019 16:03:49.882612000 GMT|2.879302000|100|6|||||||||4|0.000312000|0.000312000|39357|443|0|44||185|0x00000010|0|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
82|Dec 22, 2019 16:03:49.882745000 GMT|2.879435000|119|6|||||||||4|0.000445000|0.000133000|443|39357|31|32||254|0x00000018|0|1|0|||||1|||1||||1|||||||||||||||||||||||||||||||||6291456||||||||||||||
83|Dec 22, 2019 16:03:49.882924000 GMT|2.879614000|88|6|||||||||4|0.000624000|0.000179000|39357|443|0|32||185|0x00000010|0|1|0|||0.000624000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
84|Dec 22, 2019 16:03:49.883487000 GMT|2.880177000|88|6|||||||||4|0.001187000|0.000563000|39357|443|0|32||185|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
88|Dec 22, 2019 16:03:49.974983000 GMT|2.971673000|88|6|||||||||4|0.092683000|0.091496000|443|39357|0|32||254|0x00000011|1|1|0|1|0.092683000||||||1||||||78|||||||||||||||||||||||||||||||2097152,4194304||||||||||||||
89|Dec 22, 2019 16:03:49.975326000 GMT|2.972016000|100|6|||||||||4|0.093026000|0.000343000|39357|443|0|44||185|0x00000010|0|1|0|||0.000343000|||1,1||1|||||||||||||||||||||||||||||||||||||4194304||||||||||||||
92|Dec 22, 2019 16:03:49.992011000 GMT|2.988701000|88|6|||||||||4|0.109711000|0.016685000|443|39357|0|32||254|0x00000010|0|1|0|||0.108524000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
